n,T_n_exact,root_approx,log_concavity_margin_approx,exact_margin_sign
4,7,1.6265765616977856,0.2140945484179565,1
5,14,1.6952182030724354,-0.032674257525095673,-1
6,37,1.8254374411756633,0.032997885387366255,1
7,90,1.9018554321561583,0.002460447005563804,1
8,233,1.9766031818062761,0.008789944341677014,1
9,602,2.036310752855306,0.0040025853756571195,1
10,1586,2.089441990672115,0.003955012179546413,1
11,4212,2.1354968839118595,0.0027958719077256777,1
12,11299,2.176473251176464,0.002353647901009781,1
13,30536,2.2130210747596655,0.0018845253319430544,1
14,83098,2.2459460845729105,0.0015757026856868528,1
15,227474,2.275772180945004,0.0013185748322164237,1
16,625993,2.3029557446089965,0.001121146506542381,1
17,1730786,2.327852682080994,0.0009606658056839912,1
18,4805596,2.3507593976649006,0.0008309108649868779,1
19,13393688,2.371919848677059,0.0007239710251288889,1
20,37458331,2.3915387446504752,0.0006352163219581763,1
21,105089228,2.409788691303631,0.0005607770906511655,1
22,295673995,2.4268166193570537,0.0004978592887132649,1
23,834086420,2.442748421525685,0.0004442665494395204,1
24,2358641377,2.4576927011086744,0.0003983066712139882,1
25,6684761124,2.4717436989092665,0.0003586427554641558,1
26,18985057352,2.484983647155136,0.0003242144635920985,1
27,54022715450,2.497484663542057,0.0002941707749186673,1
28,154000562759,2.5093102934944453,0.00026782361085886386,1
29,439742222070,2.5205167736850767,0.0002446119873225072,1
30,1257643249141,2.5311540752109543,0.0002240752890474429,1
31,3602118427250,2.54126677030197,0.00020583271292373695,1
32,10331450919457,2.5508947569157367,0.00018956745702880529,1
33,29671013856626,2.560073867967567,0.00017501440195233364,1
34,85317692667644,2.5688363863216006,0.00016195045200584346,1
35,245613376802184,2.577211482308903,0.00015018689793577789,1
36,707854577312179,2.585225587187476,0.00013956333674358667,1
37,2042162142208812,2.5929027133437383,0.00012994279775768725,1
38,5897493615536453,2.6002647299855886,0.00012120781107471945,1
39,17047255430494496,2.6073316014576053,0.0001132572170637891,1
40,49320944483427001,2.6141215940216416,0.00010600356263190669,1
41,142816973618414816,2.620651455916134,9.937096493273234e-05,1
42,413887836110423788,2.626936574678834,9.329334971563963e-05,1
43,1200394300050487934,2.632991115047181,8.77129915977104e-05,1
44,3484084625456932135,2.638828140205257,8.257929898780603e-05,1
45,10119592485062548154,2.644459718700499,7.784779823682975e-05,1
46,29412628894558563850,2.6498970189873057,7.347928082712674e-05,1
47,85543870540455597788,2.6551503932526366,6.943908459811077e-05,1
48,248952602654003411641,2.6602294519284744,6.569648564280772e-05,1
49,724947137834104063052,2.6651431300878348,6.222418198142954e-05,1
50,2112261618875209962526,2.6698997467470966,5.899785363283616e-05,1
51,6157879192714893166502,2.6745070579516503,5.599578654880144e-05,1
52,17961708307164474879079,2.6789723043991502,5.319855010454955e-05,1
53,52418979494565497284658,2.6833022542510983,5.058871968244283e-05,1
54,153054402342387832806319,2.687503241695717,4.8150637345090175e-05,1
55,447107296039753836151994,2.691581201750477,4.58702047766435e-05,1
56,1306709599137475613111809,2.6955417017290833,4.373470366947352e-05,1
57,3820682066516442811470122,2.6993899697433412,4.17326394983597e-05,1
58,11176109832763802046866482,2.7031309205637224,3.985360530434079e-05,1
59,32705601410484246215745188,2.7067691791223663,3.808816263373149e-05,1
